first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,registration_number,license_valid_from,license_valid_to,specializations,address
,,EYEQUEST INTERNATIONAL MANPOWER SERVICES INCORPORATED,,,,https://www.eqmanpower.com,eqmanpower.com,,,PH,Recruitment Agency,ph-workabroad,https://eyequest.workabroad.ph/profile/agency/816/eyequest,DMW-141-LB-07252023-R,"Jul 31, 2023","Aug 31, 2029",,
,,F.I.R. INTERNATIONAL SERVICE CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://firrecruitment.workabroad.ph/profile/agency/2354/firrecruitment,POEA-101-LB-062520-R,"Apr 29, 2024","May 23, 2030",,
,,F4E HEALTHCAREFORCE INTERNATIONAL INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8091/f4e-healthcareforce-international-inc,DMW-001-LB-05082023-PLe,"Mar 01, 2025","Feb 28, 2026",,
,,FAASI INTERNATIONAL CORPORATION - MANILA BRANCH,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://faasimanila.workabroad.ph/profile/agency/6633/faasimanila,POEA-181-LB-110520-R,"May 02, 2021","May 14, 2030",,
,,FEDERAL OVERSEAS MANPOWER INC.(FORMERLY LAVANDER INTERNATIONAL MANPOWER SERVICES),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://federaloverseas.workabroad.ph/profile/agency/5120/federaloverseas,DMW-246-LB-01022024-R,"Sep 26, 2023","Sep 25, 2029",,
,,FERRAND HUMAN RESOURCES INTERNATIONAL,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ferrand.workabroad.ph/profile/agency/6462/ferrand,POEA-175-LB-112222-R,"Jan 07, 2023","Jan 06, 2027",,
,,FGS EAST ASIA TECHNICAL RESOURCE MANAGEMENT INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://fgseast.workabroad.ph/profile/agency/6965/fgseast,DMW-461-LB-10182024-R,"Oct 18, 2024","Nov 17, 2030",,
,,FIL-DEPLOY MANPOWER SERVICES CORPORATION (FORMERLY: JEJ INTERNATIONAL MANPOWER SERVICES),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/2575/fil-deploy-manpower-services-corporation-formerly-jej-international-manpower-services,DMW-402-LB-07262024-R,"May 13, 2024","May 12, 2030",,
,,"FIL-EXPAT PLACEMENT AGENCY, INC",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://filexpat.workabroad.ph/profile/agency/5226/filexpat,POEA-110-LB-070419-R,"Jul 22, 2023","Jul 01, 2027",,
,,"FIL-GULF MANPOWER AND GENERAL SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://filgulf.workabroad.ph/profile/agency/3807/filgulf,DMW-100-LB-05292023-R,,,,
,,"FIL-SINO MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://filsino.workabroad.ph/profile/agency/465/filsino,POEA-074-LB-081222-R,"Aug 31, 2022","Aug 30, 2026",,
,,"FILIPINAS-GLOBAL MULTI-SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://filipinasglobal.workabroad.ph/profile/agency/6819/filipinasglobal,DMW-018-LB-03072023-R,"Jul 15, 2022","Jul 14, 2026",,
,,"FINDSTAFF PLACEMENT SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://findstaff.workabroad.ph/profile/agency/190/findstaff,POEA-165-LB-100620-R,"Oct 03, 2020","Oct 02, 2030",,
,,"FINEST ASIA RESOURCES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://finestasia.workabroad.ph/profile/agency/457/finestasia,POEA-033-LB-022020-R,"Mar 08, 2020","Mar 07, 2030",,
,,FLUOR MANPOWER AGENCY INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://fluor.workabroad.ph/profile/agency/7352/fluor,POEA-010-LB-020722-R,"Dec 17, 2025","Apr 16, 2026",,
,,FMW HUMAN RESOURCES INTERNATIONAL CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://fmw.workabroad.ph/profile/agency/163/fmw,DMW-042-LB-03072023-R,"Mar 06, 2023","Mar 23, 2027",,
,,FOCUS INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://focus.workabroad.ph/profile/agency/434/focus,DMW-111-LB-06092023-R,"Jul 01, 2023","Jun 30, 2027",,
,,"FOREIGN MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://foreignmanpower.workabroad.ph/profile/agency/2519/foreignmanpower,POEA-087-LB-081722-R,,,,
,,G & M (PHIL) INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1177/g-m-phil-inc,POEA-130-LB-100322-R,"Sep 13, 2022","Sep 12, 2026",,
,,GATCHALIAN PROMOTION TALENTS POOL INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6136/gatchalian-promotion-talents-pool-inc,DMW-186-LB-10062023-R,"Nov 20, 2023","Nov 19, 2029",,
,,"GBMLT MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://gbmlt.workabroad.ph/profile/agency/988/gbmlt,POEA-125-LB-072320-R,"Oct 16, 2024","May 13, 2030",,
,,GCC INTERNATIONAL MANPOWER AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://gccintl.workabroad.ph/profile/agency/7423/gccintl,POEA-132-LB-100422-R,"Oct 10, 2022","Sep 11, 2026",,
,,"GEO SPHERE RECRUITMENT PHILIPPINES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://geosphere.workabroad.ph/profile/agency/4391/geosphere,POEA-105-LB-090822-R,"Aug 03, 2022","Aug 02, 2026",,
,,GERICO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8167/gerico,123123123123,,,,
,,GFI MANPOWER INTERNATIONAL SPECIALIST,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://gfimanpower.workabroad.ph/profile/agency/328/gfimanpower,DMW-266-LB-02162024-R,"Jan 25, 2024","Jan 24, 2030",,
,,"GIANT INTERNATIONAL EMPLOYMENT AGENCY, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://giantintl.workabroad.ph/profile/agency/3546/giantintl,POEA-127-LB-062818-R,"Jul 14, 2022","Jul 25, 2026",,
,,GLOBAL HOSPITALITY PLACEMENT AGENCY PHILIPPINES CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://globalhospitality.workabroad.ph/profile/agency/5930/globalhospitality,POEA-002-LB-012315-PL,"Feb 08, 2023","Jan 30, 2027",,
,,GLOBAL PROFESSIONAL RESOURCES PHIL INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://globalpro.workabroad.ph/profile/agency/1812/globalpro,DMW-674-LB-11202025-R,"Sep 20, 2025","Sep 19, 2031",,
,,GLOBAL PROFESSIONAL RESOURCES PHIL. INCORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://globalprofessional.workabroad.ph/profile/agency/6288/globalprofessional,POEA-82-LB-121621-R,"Dec 22, 2025","Sep 19, 2031",,
,,GLOBAL RESOURCE FOR OUTSOURCED WORKERS INCORPORATED (GROW INC),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7058/global-resource-for-outsourced-workers-incorporated-grow-inc,DMW-190-LB-10172023-R,"Oct 30, 2022","Oct 29, 2028",,
,,GLOBAL-EXPERTISE MANAGEMENT INC (FORMERLY ALMASURA INTERNATIONAL MANPOWER),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://globalexpertise.workabroad.ph/profile/agency/1165/globalexpertise,POEA-085-LB-122221-R,"Oct 20, 2022","Dec 09, 2025",,
,,GLOBALSUCCESS OVERSEAS EMPLOYMENT SERVICES,,,,https://www.gsjobs.com.ph,gsjobs.com.ph,,,PH,Recruitment Agency,ph-workabroad,https://globalsuccess.workabroad.ph/profile/agency/7910/globalsuccess,DMW-033-LB-06262024-UL,"Jul 28, 2022","Jul 27, 2026",,
,,"GLOBPHIL MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://globphil.workabroad.ph/profile/agency/2967/globphil,POEA-090-LB-061820-R,"May 29, 2020","May 28, 2030",,
,,GOLDEN CHI INTERNATIONAL MANPOWER CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://goldenchi.workabroad.ph/profile/agency/7456/goldenchi,POEA-004-LB-020119-PL,"Feb 21, 2023","Jan 29, 2027",,
,,"GOLDEN LEGACY JOBMOVERS, CORP.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://goldenlegacymain.workabroad.ph/profile/agency/5628/goldenlegacymain,DMW-215-LB-11212023-R,"Jan 05, 2024","Jan 04, 2030",,
,,GOLDEN RAMMAD INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://goldenrammad.workabroad.ph/profile/agency/380/goldenrammad,DMW-214-LB-11242023-R,,,,
,,"GOOD DAY RECRUITMENT, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://goodday.workabroad.ph/profile/agency/1173/goodday,poea-166-lb-111122-r,"Jun 10, 2022","Jun 09, 2026",,
,,GRAND PLACEMENT & GENERAL SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://grandplacement.workabroad.ph/profile/agency/811/grandplacement,DMW-379-LB-06142024-R,"Jun 25, 2024","Jun 24, 2030",,
,,"GRANDER EMPLOYMENT & MANPOWER SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://grander.workabroad.ph/profile/agency/479/grander,DMW-139-LB-07252023-R,"Jun 21, 2023","Jun 20, 2027",,
,,"GREAT WAYS MANPOWER INTERNATIONAL, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://greatways.workabroad.ph/profile/agency/897/greatways,DMW-147-LB-07272023-R,"Aug 08, 2023","Dec 13, 2026",,
,,GREENEARTH GLOBAL RESOURCES SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://greenearth.workabroad.ph/profile/agency/6204/greenearth,POEA-083-LB-122221-R,"Nov 06, 2021","Nov 05, 2025",,
,,"GREENFIELDS INTERNATIONAL MANPOWER SERVICES, INC.",,,(074)4438419(074),https://www.greenfieldsmanpower.comIloilo,greenfieldsmanpower.comiloilo,Manila,,PH,Recruitment Agency,ph-workabroad,https://greenfields.workabroad.ph/profile/agency/2304/greenfields,POEA-047-LB-030419-R,"Jun 02, 2023","Apr 15, 2027",,
,,GREENLAND OVERSEAS MANPOWER SERVICES CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://greenland.workabroad.ph/profile/agency/7457/greenland,DMW-055-LB-03232023-R,"Jan 25, 2023","Jan 24, 2027",,
,,GULF ASIA INTERNATIONAL CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://gulfasia.workabroad.ph/profile/agency/231/gulfasia,POEA-107-LB-091222-R,"Aug 07, 2022","Aug 06, 2026",,
,,GULF HORIZON INTERNATIONAL SERVICES INC.,,,,,,Davao,,PH,Recruitment Agency,ph-workabroad,https://gulfhorizon.workabroad.ph/profile/agency/227/gulfhorizon,POEA-169-LB-092019-R,"Sep 04, 2023","Sep 03, 2029",,
,,H.M.O. INTERNATIONAL HUMAN RESOURCES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://hmointernational.workabroad.ph/profile/agency/1203/hmointernational,POEA-122-LB-062118-R,"Oct 13, 2022","Jul 28, 2026",,
,,HARD EARNED OPPORTUNITIES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://hardearned.workabroad.ph/profile/agency/7234/hardearned,POEA-038-LB-100317-PL,"Jul 01, 2022","Sep 28, 2025",,
,,HAVANA INT`L RESOURCES AGENCY CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://havanaintl.workabroad.ph/profile/agency/6824/havanaintl,DMW-428-LB-09042024-R,"Apr 26, 2024","Apr 25, 2030",,
,,HAVILLAH INTERNATIONAL MANPOWER SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://havillah.workabroad.ph/profile/agency/6551/havillah,DMW-053-LB-03202023-R,"Mar 13, 2023","Mar 12, 2027",,
,,HAYYA INTERNATIONAL SERVICES CORPORATION,,,,,,Makati,,PH,Recruitment Agency,ph-workabroad,https://hayya.workabroad.ph/profile/agency/3900/hayya,POEA-162-LB-110422-R,"Dec 16, 2022","Dec 15, 2026",,"the heart of Makati City, the Philippine’s premier financial and commercial district"
,,HEALTH CAROUSEL PHILIPPINES INC.,,,,https://healthcarousel.ph/,healthcarousel.ph,,,PH,Recruitment Agency,ph-workabroad,https://healthcarousel.workabroad.ph/profile/agency/3551/healthcarousel,POEA-098-LB-090522-R,"Oct 17, 2022","Oct 16, 2026",,
,,HIRO GLOBAL MANPOWER INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://hiroglobal.workabroad.ph/profile/agency/3029/hiroglobal,DMW-228LBB-12212023-R,,,,
,,"HOPEWELL OVERSEAS MANPOWER NETWORK, INC.",,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://hopewell.workabroad.ph/profile/agency/1367/hopewell,POEA-149-LB-07312023-R,"Aug 11, 2023","Aug 10, 2029",,
,,HORIZON RECRUITMENT PACIFIC CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://horizonrecruitment.workabroad.ph/profile/agency/160/horizonrecruitment,DMW-205-LB-11152023-R,"Sep 04, 2023","Sep 03, 2029",,
,,"HRD EMPLOYMENT CONSULTANTS & MULTI-SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://hrdemployment.workabroad.ph/profile/agency/474/hrdemployment,POEA-038-LB-061314-R,"Jul 12, 2022","Jul 07, 2026",,
,,"HUMANIA INTERNATIONAL, INC.",,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://humania.workabroad.ph/profile/agency/1270/humania,POEA-169-LB-111522-R,"Dec 15, 2022","Dec 14, 2026",,
,,ICON-NEGI PH INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8208/icon-negi-ph-inc,DMW-002-LB-10112023-PL,"Oct 11, 2023","Oct 10, 2026",,
,,IDEAL PLACEMENT AND MANPOWER SERVICES INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://idealplacement.workabroad.ph/profile/agency/1511/idealplacement,POEA-044-LB-031615-R,"Aug 23, 2023","Apr 17, 2027",,
,,IKON SOLUTIONS ASIA,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ikon.workabroad.ph/profile/agency/3640/ikon,POEA-002-LB-010421-R,"Dec 20, 2024","Jan 12, 2031",,
,,"IMES GLOBAL, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://imesglobal.workabroad.ph/profile/agency/2650/imesglobal,POEA-189-LB-120720-R,"Apr 19, 2021","Jun 18, 2030",,
,,"INDUSTRIAL, PERSONNEL, AND MANAGEMENT SERVICES, INC. (IPAMS)",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ipams.workabroad.ph/profile/agency/850/ipams,DMW-001-LB-01102024-PA,"Apr 12, 2024","Apr 11, 2036",,
,,INSANA INTL PLACEMENT AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5813/insana-intl-placement-agency-inc,POEA-038-LB-03072023-R,"Apr 18, 2024","Feb 14, 2027",,
,,"INTERASIA OUTSOURCE, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://interasia.workabroad.ph/profile/agency/1746/interasia,POEA-096-LB-061615-R,"Jun 23, 2023","Jun 19, 2027",,
,,"INTERNATIONAL PROGRESS, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://intlprogress.workabroad.ph/profile/agency/1937/intlprogress,POEA-125-LB-092822-R,"Nov 08, 2022","Aug 26, 2026",,
,,"INTERNATIONAL SKILL DEVELOPMENT, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/678/international-skill-development-inc,POEA-108-LB-062515-R-PAE,"Oct 29, 2019","Oct 28, 2031",,
,,IPEOPLE MANPOWER RESOURCES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://ipeople.workabroad.ph/profile/agency/2338/ipeople,DMW-130-LB-07132023-R,"Dec 05, 2023","Jun 14, 2027",,
,,J-M-H INTERNATIONAL MANPOWER AGENCY CO,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jmhinternational.workabroad.ph/profile/agency/6808/jmhinternational,DMW-436-LB-09052024-R,"Jul 04, 2024","Jul 03, 2030",,
,,J-MAC INTERNATIONAL MANPOWER AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jmac.workabroad.ph/profile/agency/2660/jmac,POEA-027-LB-051810-R,"Jan 20, 2023","May 16, 2026",,
,,"JAD+GTC MANPOWER SUPPLY & SERVICES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jadgtc.workabroad.ph/profile/agency/1175/jadgtc,DMW-639-LB-08272025-R,"Sep 25, 2025","Oct 25, 2031",,
,,JAFF`S INTL. MANPOWER SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/8377/jaffs-intl-manpower-services-corp,DMW-011-LB-03182024-PL,"Apr 24, 2024","Mar 11, 2027",,
,,JB INTERNATIONAL MANPOWER SERVICES CORP.,,,,,,Makati,,PH,Recruitment Agency,ph-workabroad,https://jbinternational.workabroad.ph/profile/agency/2081/jbinternational,POEA-060-LB-031120-R,"May 09, 2024","Mar 07, 2030",,
,,JCJ MANAGEMENT SERVICES & INTERNATIONAL PROMOTION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jcjmsip.workabroad.ph/profile/agency/5127/jcjmsip,POEA-143-LB-081815-R,"Aug 23, 2022","Sep 04, 2029",,
,,"JEDEGAL INT`L MANPOWER SERVICES, INCORPORATED",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jedegal.workabroad.ph/profile/agency/1071/jedegal,DMW-166-LB-09042023-R,"Oct 28, 2023","Oct 27, 2029",,
,,"JEDI PLACEMENT AGENCY, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jedi.workabroad.ph/profile/agency/5318/jedi,POEA-149-LB-100814-R,,,,
,,"JEMSTONE GLOBAL RECRUITMENT AGENCY COMPANY, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/757/jemstone-global-recruitment-agency-company-inc,DMW-272-LB-02222024-R,"Sep 22, 2021","Sep 21, 2025",,
,,JENERICK INTERNATIONAL MANPOWER INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jenerick.workabroad.ph/profile/agency/1353/jenerick,POEA-156-LB-080618-R,"Dec 20, 2024","Sep 04, 2026",,
,,JEZEM MANPOWER AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7484/jezem-manpower-agency-inc,DMW-182-LB-10022023-R,"Jun 05, 2024","Jun 04, 2030",,
,,"JGB ASSOCIATES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5237/jgb-associates-inc,POEA-174-LB-112122-R,"Jul 29, 2022","Jul 28, 2026",,
,,JING INTERNATIONAL PLACEMENT AND PROMOTION SERVICES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jinginternational.workabroad.ph/profile/agency/5938/jinginternational,POEA-115-LB-090319-R,"Sep 13, 2023","Jun 19, 2027",,
,,JJHAM INTERNATIONAL RECRUITMENT AGENCY INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jjham.workabroad.ph/profile/agency/7681/jjham,POEA-217-LB-122322-R,"Jan 06, 2021","Jan 05, 2031",,
,,JJS INTERNATIONAL PLACEMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/7566/jjs-international-placement-agency,POEA-022-LB-111319-PL,"Feb 20, 2024","Nov 06, 2029",,
,,JM INTERNATIONAL INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jminternational.workabroad.ph/profile/agency/2136/jminternational,DMW–354-LB-05212024–R,"Jun 06, 2024","Apr 03, 2030",,
,,JOBLANE INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://joblane.workabroad.ph/profile/agency/2751/joblane,DMW-418-LB-08132024-R,"Sep 10, 2023","Sep 09, 2029",,
,,"JOBSCONNECT MANPOWER AGENCY, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jobsconnect.workabroad.ph/profile/agency/6334/jobsconnect,POEA-090-LB-082622-R,"Sep 23, 2022","Oct 25, 2025",,
,,JOBSMANILA INTERNATIONAL INC.,,,,,,Manila,,PH,Recruitment Agency,ph-workabroad,https://jobsmanila.workabroad.ph/profile/agency/3470/jobsmanila,POEA-218-LB-120415-R,"Mar 04, 2024","Nov 28, 2029",,
,,JOPMAN CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jopman.workabroad.ph/profile/agency/538/jopman,DMW-027-LB-03072023-R,"Jan 08, 2023","Jan 07, 2027",,
,,JOSELINE INTERNATIONAL MANPOWER CORPORATION (FORMERLY PARAS ENTERPRISES),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5653/joseline-international-manpower-corporation-formerly-paras-enterprises,POEA-137-LB-071318-R,"Mar 02, 2023","Aug 06, 2026",,
,,JPM88 INTL MANPOWER SERVICES CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jpm88intl.workabroad.ph/profile/agency/7227/jpm88intl,POEA-063-LB-100521-R,"Oct 06, 2021","Sep 05, 2025",,
,,"JS CONTRACTOR, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://jscontractor.workabroad.ph/profile/agency/45/jscontractor,POEA-056-LB-031020-R,"Mar 20, 2024","Mar 07, 2030",,
,,JTC INTERNATIONAL MANPOWER SERVICES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5032/jtc-international-manpower-services-inc,DMW-262-LB-01242024-R,"Feb 01, 2024","Jan 31, 2030",,
,,JUAN SMART MANPOWER PHILS.CO.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/6974/juan-smart-manpower-philsco,POEA-178-LB-102920-R,"Nov 18, 2020","Nov 22, 2030",,
,,KENMORE INTERNATIONAL PLACEMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://kenmoreintl.workabroad.ph/profile/agency/3310/kenmoreintl,POEA-067-LB-071422-R,"Aug 20, 2022","Aug 19, 2026",,
,,KEYS PLACEMENT INC.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://keysplacement.workabroad.ph/profile/agency/865/keysplacement,POEA-122-LB-092222-R,"Sep 15, 2022","Sep 14, 2026",,
,,KYR INTERNATIONAL MANPOWER SERVICES,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://kyrintl.workabroad.ph/profile/agency/2386/kyrintl,DMW-085-LB-05052023-R,"May 18, 2023","May 07, 2027",,
,,L.C. MANPOWER EXPERTISE CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://lcmanpower.workabroad.ph/profile/agency/3712/lcmanpower,POEA-078-LB-081222-R,"Sep 25, 2022","Sep 24, 2026",,
,,LANDBASE HUMAN RESOURCES COMPANY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://landbasehuman.workabroad.ph/profile/agency/1324/landbasehuman,POEA-230-LB-112215-R,"Feb 20, 2024","Jan 24, 2030",,
,,LAU` MEL INTERNATIONAL STAFFING SERVICES INCORPORATED,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://laumel.workabroad.ph/profile/agency/2219/laumel,POEA-111-LB-070220-R,"Oct 08, 2024","May 31, 2030",,
,,LBS RECRUITMENT SOLUTIONS CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://lbs.workabroad.ph/profile/agency/5943/lbs,DMW-216-LB-11222023-R,"Nov 07, 2023","Nov 06, 2029",,
,,LEADING INTERNATIONAL RECRUITMENT (LINRCO) CORP (FORMERLY LWV CORPORATION),,,,,,,,PH,Recruitment Agency,ph-workabroad,https://linrco.workabroad.ph/profile/agency/1008/linrco,DMW-066-LB-03312023-R,"Apr 05, 2023","Apr 04, 2027",,
,,"LIFELINKS INTERNATIONAL RESOURCES, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://lifelinks.workabroad.ph/profile/agency/3704/lifelinks,DMW-431-LB-09042024-R,"Feb 20, 2020","Feb 19, 2030",,
,,LIGHT AND HOPE OVERSEAS PLACEMENT AGENCY,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://lightandhope.workabroad.ph/profile/agency/158/lightandhope,POEA-009-LB-011516-R,"Sep 06, 2024","Feb 06, 2030",,
,,LINK ASIA MANPOWER SOLUTIONS CORP,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1209/link-asia-manpower-solutions-corp,DMW-067-LB-03312023-R,"Nov 17, 2022","Nov 16, 2026",,
,,"LNS INTL. MANPOWER AGENCY, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/3858/lns-intl-manpower-agency-inc,DMW-389-LB-07012024-R,"Apr 11, 2024","Apr 10, 2030",,
,,"LOG INTERNATIONAL HR & RECRUITMENT AGENCY, INC.",,,,,,,,PH,Recruitment Agency,ph-workabroad,https://logintl.workabroad.ph/profile/agency/6291/logintl,POEA-066-LB-020918-R,"Oct 17, 2022","Apr 22, 2026",,
,,LONG TERM RECRUITING & DEVELOPMENT CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://longterm.workabroad.ph/profile/agency/2022/longterm,POEA-092-LB-082622-R,,,,
,,LRC MANPOWER SERVICES INTERNATIONALE,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://lrcmanpower.workabroad.ph/profile/agency/4279/lrcmanpower,DMW-311-LB-04252024-R,"Feb 09, 2024","Feb 08, 2030",,
,,LUXURY & JP INTERNATIONAL CORPORATION,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://luxurynjpintlcorp.workabroad.ph/profile/agency/4449/luxurynjpintlcorp,DMW-156-LB-08102023-R,"Sep 10, 2023","Sep 09, 2029",,
,,M & J RESOURCES MANPOWER SERVICES INC,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://mjresources.workabroad.ph/profile/agency/3189/mjresources,DMW-381-LB-06212024-R,"Jun 18, 2024","Jun 17, 2030",,
,,M.R.C. PROMOTION & MANAGEMENT,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1481/mrc-promotion-management,DMW-043-LB-03072023-R,"Jan 09, 2022","Jan 09, 2027",,
,,MAANYAG INT'L MANPOWER CORP.,,,,,,,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/5932/maanyag-intl-manpower-corp,DMW-339-LB-04252024-R,"May 15, 2024","Mar 05, 2030",,
,,MAB INTERNATIONAL SERVICES INC,,,,https://www.mabintlservicesph.com,mabintlservicesph.com,Quezon City,,PH,Recruitment Agency,ph-workabroad,https://www.workabroad.ph/profile/agency/1315/mab-international-services-inc,POEA-042-LB-101713-R,"Oct 15, 2021","Oct 14, 2025",,
