first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,address,fax,principal_agent,qeac_numbers,counselor_count
,,"Shanghai Wise Business Consulting Co., Ltd",,,,,,Jing An District,Shanghai,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/42821,"Jing De Tower, Room 1603 No. 319 Change De Road, Jing An District, Shanghai, 200040, China",,,,
,,EazyConnect Educational Services Ltd.,,,,,,Abuja,Federal Capital Territory,Nigeria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44850,"Suite 206, The Ruby Centre, 762 Aminu Kano Crescent, Abuja, Federal Capital Territory, 900288, Nigeria",,,,
,,Uniglobe Education Consultancy,,,,,,Kathmandu,Central Development Region,Nepal,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44432,"59 Bag Bazar Sadak, Kathmandu, Central Development Region, 44600, Nepal",,,,
,,Laltlanthangi Christina,,,,,,Abbotsford,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44865,"17 Yarra Bank Court, Abbotsford, Victoria, 3067, Australia",,,,
,,Magistr-tour,,,,,,Kyiv,Kiev,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26540,"Office 402, Str 31 Shchorsa, Kyiv, Kiev, 01133, Ukraine",,,,
,,"Europe Study Centre Private Limited, India",,,,,,Cochin,Kerala,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7974,"Kaloor Tower, Cc 36 / 1951 11 Opp.A.J.Hall, K.K.Road, Kaloor, Cochin, Kerala, 682017, India",,,,
,,AMET Education,,,,,,Southport,QLD,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/25,"Shop 17, 91-99 Scarborough Street, Southport, QLD, 4215, Australia",,,,
,,Higher Study Nigeria,,,,,,Port Harcourt,Rivers,Nigeria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/39413,"Plot 282, Level 3, Aba Road, Rumukwurushi, Port Harcourt, Rivers, 500211, Nigeria",,,,
,,Fly Me,,,,,,Odesa,Odes'ka oblast,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/42037,"27/1, office 403, Katerynyns'ka Street 27/1 str Ekaterininskaya, of 403, Odesa, Odes'ka oblast, 65000, Ukraine",,,,
,,Chaim Global Ally,,,,,,Toronto,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/42131,"floor 4, suite 404, 3200 Dufferin Street, Toronto, ON, M6A 3B2, Canada",,,,
,,Opti Immigration Services,,,,,,Delta,BC,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/41782,"6712 Baker Road #58, Delta, BC, V4E 2V2, Canada",,,,
,,Ultimate Consultancy & Advisory Network Pvt Ltd,,,,,,Kathmandu,Central Development Region,Nepal,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10950,"Kathmandu, Putalisadak Putalisadak- 28 Ground Floor Opposite to Nepal Investment Bank, Kathmandu, Central Development Region, 44600, Nepal",,,,
,,Studying in Canada,,,,,,Toronto,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11900,"30081 1500 Woodbine Ave, Toronto, Ontario, M4C5J2, Canada",,,,
,,EFS Consulting Co Ltd,,,,,,Ho Chi Minh City,Ho Chi Minh,Vietnam,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/13065,"09, 75th, Tan Phong Ward, District 7, Ho Chi Minh City, Ho Chi Minh, 70000, Vietnam",,,,
,,Study Concerns International,,,,,,Ajax,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/3993,"84 Boyd Crescent, Ajax, Ontario, L1Z 1X7, Canada",,,,
,,Study Resource Port,,,,,,13/30 Pivdennyi Bulvar Street,Ivano-Frankivsk,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/41041,"13/30 Pivdennyi Bulvar Street, Ivano-Frankivsk, 76000, Ukraine",,,,
,,Men7ty Education Solutions,,,,,,38 Ali Amin,Nasr City,Egypt,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43899,"38 Ali Amin, Nasr City, Cairo Governorate, Egypt",,,,
,,Atiye Afarinan Iranian,,,,,,Tehran,tehran,Iran,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/11191,"Flat 27. No. 138, Mirdamad Mirdamad St., Tehran, tehran, 1548944858, Iran",,,,
,,Elgold Educational Supports Service Ltd,,,,,,Abuja,Federal Capital Territory,Nigeria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/2123,"Off Banex-Gwarinpa/Ahmadu Bello Way, Mabushi, PMB 5208, Wuse, House 2, Ground Floor, Flat A2, Plot 2912 AO2 Cadastral Zone By Alim Royal Hotel/Capital Hub Plaza/Victoria Garden Estate, Wuse 2, Abuja, Federal Capital Territory, 900001, Nigeria",,,,
,,CoAcad,,,,,,Valencia,Comunidad Valenciana,Spain,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/37016,"26 bajo Plaza honduras, Valencia, Comunidad Valenciana, 46022, Spain",,,,
,,StudyDas,,,,,,Antananarivo,Antananarivo,Madagascar,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43649,"E-Tower Lot IVE 35 TER Behoririka, Antananarivo, Antananarivo, 101, Madagascar",,,,
,,IEC Abroad Limited,,,,,,Manchester,England,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26476,"NCG, 9 Portland Street, Manchester, England, M1 3BE, United Kingdom",,,,
,,International-sur-Loire,,,,,,38 Rue de la Marbelliere,Joué-lès-Tours,France,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/40545,"38 Rue de la Marbelliere, Joué-lès-Tours, 37300, France",,,,
,,Gbcl Global,,,,,,London,London,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26147,"W36uj, Conway Grove 3, London, London, W3 6UJ, United Kingdom",,,,
,,Bureau d'Orientation et de Recrutement,,,,,,Longueuil,Québec,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/35711,"1151 Rue Bagot, Longueuil, Québec, J4M 1E2, Canada",,,,
,,La Global Edu Consultants Private Limited,,,,,,Hyderabad,Telangana,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/33677,"A-13, R K NIVAS, INDIAN AIRLINES COLONY, BEGUMPET( VERY NEAR TO GATE NO.3 USA CONSULATE HYDERABAD), LA GLOBAL 102, FIRST FLOOR, Hyderabad, Telangana, 500016, India",,,,
,,Apex International Student Services Pty Ltd,,,,,,Colombo,Western,Sri Lanka,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/1267,"23A Norris Canal Road, Colombo, Western, 01000, Sri Lanka",,,,
,,RB Migration Pathways,,,,,,Woodbridge,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/41298,"140 Woodbridge Avenue Suite FL10, Woodbridge, ON, L4L 4K9, Canada",,,,
,,The Academic Advisor,,,,,,Odessa,Odessa,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/34241,"Office № 1106, Gagarin Avenue, 12 A, Odessa, Odessa, 65039, Ukraine",,,,
,,AAA Education Consultants Ltd.,,,,,,London,City of,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/31176,"22 Myrtle Avenue Feltham, London, London, City of, TW14 9QU, United Kingdom",,,,
,,CARIIO Corp.,,,,,,Toronto,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/41682,"210 Dunview Avenue, Toronto, ON, M2N 4J1, Canada",,,,
,,Best Student Hunt Education,,,,,,Chaoyang,,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43620,"Chaoyang, Beijing, , China",,,,
,,OH! Study Education Center,,,,,,Ren Ai Rd. Sec. 4,Taipei,Taiwan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/22840,"4 F, No. 109, Ren Ai Rd. Sec. 4, Taipei, 10688, Taiwan",,,,
,,International Consulting Services SARL,,,,,,Suite 2100,Yaounde,Cameroon,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/42689,"Technipole building door 007, Melen Technipol, Polytechnique, Suite 2100, Yaounde, Center Province, Cameroon",,,,
,,AUG Student Services,,,,,,Johor Bahru,Johor,Malaysia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/16016,"39 Jalan Harimau Tarom Taman Century, Johor Bahru, Johor Bahru, Johor, 80250, Malaysia",,,,
,,Blue Ocean Education,,,,,,4 - VEBA Building),Hanoi,Vietnam,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/3064,"No. 208 Xa Dan 2 street, Nam Dong ward, Dong Da district (Floor 2, 3, 4 - VEBA Building), Hanoi, Hanoi, Vietnam",,,,
,,First Study Abroad,,,,,,Amman,Amman Governorate,Jordan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43371,"Amman, Massoud ben nasser steert, Amman, Amman Governorate, 11821, Jordan",,,,
,,egoPERFECTUS,,,,,,Riga,Riga,Latvia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/42110,"5 Valnu Street, Riga, Riga, LV-1050, Latvia",,,,
,,Golden Bridge,,,,,,Chugureti,Tbilisi,Georgia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/8764,"90-a Tsinamdzgvrishvili Street, (2nd Floor), Chugureti, Tbilisi, 0102, Georgia",,,,
,,Visiocare Academy,,,,,,Douala,Littoral,Cameroon,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12297,"N° 32, Cite des Palmiers, Douala, Littoral, Cameroun, Douala, Douala, Littoral, 237, Cameroon",,,,
,,Golden Bridge International Education Center,,,,,,Tbilisi,Tbilisi,Georgia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/26167,"90-A Tsinamdzgvrishvili Street, Tbilisi, Tbilisi, 0102, Georgia",,,,
,,RADSAM Education Agency,,,,,,Maple,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/39080,"38 Troon Avenue, Maple, ON, L6A 4Z2, Canada",,,,
,,Stepabroad,,,,,,Vancouver,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/36103,"812 525 Seymour street, Vancouver, British Columbia, V6B 3H7, Canada",,,,
,,Go to Success International Education Services,,,,,,Vancouver,BC,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/40611,"807 1112 West Pender Street, Vancouver, BC, V6E 2S1, Canada",,,,
,,Inno-Wits Education Consultancy Ltd,,,,,,Chang Ling Nan Lu,Guiyang Shi,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/41334,"Changling South Road, Chang Ling Nan Lu, Guiyang Shi, Guizhou Sheng, China",,,,
,,Trinity Intercâmbio,,,,,,São Paulo,São Paulo,Brazil,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/41935,"Cj 57 2050 Avenida Brigadeiro Luís Antônio, São Paulo, São Paulo, 01318-002, Brazil",,,,
,,Campbell Consulting Group,,,,,,Toronto,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/40988,"Suite 704, 1280 Finch Ave W, Toronto, Ontario, M3J 3K6, Canada",,,,
,,Assessment Center for Canadian Universities (ACCU),,,,,,Toronto,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/37488,"1 Whitbread Crescent, Ajax, Toronto, Ontario, L1Z0E3, Canada",,,,
,,UCI Group,,,,,,YAVNE,Center,Israel,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44099,"7B LIMON ST., 7 לימון 7B LIMON ST., YAVNE, Center, 8151500, Israel",,,,
,,Studypedia,,,,,,Hamra,بيروت,Lebanon,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/16563,"Maamari Center Level 9 Office 906, 906 0 Maamari, Hamra, بيروت, محافظة بيروت, Lebanon",,,,
,,Now You! learn & travel GmbH,,,,,,Meerbusch,NRW,Germany,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44106,"Cranachstraße, Cranachstraße, Meerbusch, NRW, 40667, Germany",,,,
,,Student Pathways,,,,,,Calgary,Alberta,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/23997,"11 Ave. 11 Avenue Southwest, Calgary, Alberta, T2R 1J8, Canada",,,,
,,PURE Canada,,,,,,Osaka,Osaka,Japan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/37989,"1-1-13 Gamo, Joto-ku, , Osaka, Osaka, 536-0016, Japan",,,,
,,WILSON INTERNATIONAL EDUCATION P.LTD,,,,,,NA,KATHMANDU,Nepal,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/37120,"same as above, Devkotamarga, Newbaneshwor-10 Kathmandu, NA, KATHMANDU, 977, Nepal",,,,
,,Monbridge Education Inc.,,,,,,Montreal,QC,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/42491,"Montreal, 430 St. Helen Street, Unit 105, Montreal, QC, H2Y 2K7, Canada",,,,
,,Royal Melboune Institute of Technology University,,,,,,Melbourne,VIC,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43829,"RMIT University, 124 La Trobe Street Building 22, Level 4 330 Swanston Street, Melbourne, VIC, 3000, Australia",,,,
,,Ivana Peleš,,,,,,536 Euclid Ave,Toronto,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/40841,"536 Euclid Ave, Toronto, Ontario, Canada",,,,
,,A-priori,,,,,,Kyiv,Kyiv,Ukraine,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/10020,"Podol District, Kyiv, Kyiv, 04080, Ukraine",,,,
,,Visa Vyom Immigration Inc.,,,,,,Surrey,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43683,"8128 128 Street, Surrey, British Columbia, V3W 1R1, Canada",,,,
,,XIAOSHU ZHU,,,,,,Saskatoon,SK,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44070,"136 Gillies Lane, Saskatoon, SK, S7V 0J8, Canada",,,,
,,Kangaroo Education consultancy,,,,,,Officer,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45146,"33 peridot Avenue, Officer, Victoria, 3809, Australia",,,,
,,Zaid Ahmad,,,,,,Brampton,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45159,"61 Horsham Street, Brampton, Ontario, L6X3T4, Canada",,,,
,,Premier Legal Firm,,,,,,Unit 11- No.348- Corner of 35th St - Gisha Street,Tehran,Iran,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45283,"Unit 11- No.348- Corner of 35th St - Gisha Street, Tehran, Tehran Province, Iran",,,,
,,DreamOffer Canada,,,,,,North York,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/42896,"222 Finch Avenue West, North York, ON, M2R 1M6, Canada",,,,
,,Ugen Group,,,,,,Mississauga,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44732,"4803 Bloomburg Drive, Mississauga, Ontario, L5M 7K4, Canada",,,,
,,CHECK IN AUSTRALIA,,,,,,Perth,Western Australia,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44826,"191 Saint Georges Terrace, Perth, Western Australia, 6000, Australia",,,,
,,Emerald Spruce,,,,,,Dongsihuanzhonglu Chaoyang District,Beijing,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45426,"No.56, Dongsihuanzhonglu Chaoyang District, Beijing, Beijing Shi, China",,,,
,,SILK Consultants,,,,,,32 Civic Centre,Lahore,Pakistan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/39525,"Johar Town, 32 Civic Centre, Lahore, Punjab, Pakistan",,,,
,,Naviaus Group,,,,,,Sydney,New South Wales,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45327,"1401 22 Market Street, Sydney, New South Wales, 2000, Australia",,,,
,,Easy Link Education PTY LTD,,,,,,Forest Hill,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45387,"78 Menin Road, Forest Hill, Victoria, 3131, Australia",,,,
,,Canadian Education,,,,,,Abbotsford,BC - British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44298,"32133 Ashcroft Dr. Ashcroft Dr., Abbotsford, BC - British Columbia, V2T 5C4, Canada",,,,
,,Compact Immigration Consultant & Educational Consultant/Agency,,,,,,Edmonton,Alberta,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/24951,"6423, 7331 South Terwillegar Dr NW, Edmonton, Alberta, T6R 0L9, Canada",,,,
,,National for University Services,,,,,,Jubiha,Amman,Jordan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/31135,"Al Manhal Centre Complex – 1st floor, Yajouz Street 105 Office No. 106 Yajouz Street- Al Manhal Cross, Jubiha, Amman, Amman, Jordan",,,,
,,AusEd International Pty Ltd,,,,,,Melbourne,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44881,"Level 1 258 Little Bourke Street, Melbourne, Victoria, 3000, Australia",,,,
,,A I Educational Consultancy Pvt Ltd,,,,,,Surrey,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45481,"405 8318 120 Street, Surrey, British Columbia, V3W 3N4, Canada",,,,
,,Maplewood Immigration Services,,,,,,Ajax,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45065,"33 Medley Lane, Ajax, Ontario, L1S 3P5, Canada",,,,
,,Milad Immigration Services Inc.,,,,,,Port Coquitlam,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45534,"2362 Whyte Avenue, Port Coquitlam, British Columbia, V3C 2A4, Canada",,,,
,,Shenghui Education,,,,,,沈阳市,辽宁省,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45543,"3005 11 团结路, 沈阳市, 辽宁省, 110071, China",,,,
,,Link and Grow Global Inc.,,,,,,Brampton,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45602,"5 Peachleaf Crescent, Brampton, Ontario, L7A 2B3, Canada",,,,
,,Immigration Point Inc.,,,,,,Mississauga,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45538,"208 218 Export Boulevard, Mississauga, Ontario, L5S 0A7, Canada",,,,
,,DENIZ sdn.bhd,,,,,,Kuala Lumpur,Kuala Lumpur,Malaysia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/7454,"Level 20, Standard Chartered, No. 30 Jalan Sultan Ismail, Kuala Lumpur, Kuala Lumpur, 50250, Malaysia",,,,
,,Canology,,,,,,Brampton,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44944,"38 Maidstone Crescent, Brampton, Ontario, L6S 2Z5, Canada",,,,
,,A&M Starlight Education & Immigration Agency,,,,,,Windsor,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45471,"Execucentre, 529 2679 Howard Avenue, Windsor, Ontario, N8X 3X2, Canada",,,,
,,Femeda Consultants,,,,,,Melbourne,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45619,"1 Queens Road, Melbourne, Victoria, 3004, Australia",,,,
,,Artemus Consultants Ltd,,,,,,Ebene,Plaines Wilhems,Mauritius,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/12217,"Unit 16, Ebene Junction building, , Ebene, Plaines Wilhems, 00230, Mauritius",,,,
,,Sterling Travels and Tours,,,,,,416 81 Mobolaji Bank Anthony Way,Ikeja,Nigeria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44692,"4th Floor, Ikeja Plaza, 416 81 Mobolaji Bank Anthony Way, Ikeja, Lagos, Nigeria",,,,
,,estudiacanadaonline,,,,,,Burnaby,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45269,"1010 1888 Gilmore Avenue, Burnaby, British Columbia, V5C 4T4, Canada",,,,
,,iOverseas Education Consultancy,,,,,,Ahmedabad,GJ,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44047,"108 University Plaza, 120 Feet Ring Road, Ahmedabad, GJ, 380009, India",,,,
,,Go Latinz Go,,,,,,Auckland,Auckland,New Zealand,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43248,"Queen Street, Queen Street, Auckland, Auckland, 1010, New Zealand",,,,
,,UPI Globale Edu Inc,,,,,,Brampton,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45695,"8 Mauve Drive, Brampton, Ontario, L6P 2M8, Canada",,,,
,,Nobic Canada,,,,,,Japan,,Japan,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/42620,"Japan, Tokyo, , Japan",,,,
,,HARNIDH OVERSEAS PATHWAY EDUCATION (HOPE),,,,,,Jalandhar,PB,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44204,"Harnidh Overseas Pathway Education, SCO-15 Garha Road, Jalandhar, PB, 144022, India",,,,
,,School Abroad Pvt. Ltd.,,,,,,Kathmandu,Central Development Region,Nepal,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44573,"28 Adwait Marga, Kathmandu, Central Development Region, 44600, Nepal",,,,
,,Xcel Global Services,,,,,,Hyderabad,Telangana,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45799,"MIG 1, H.No 3 KPBH Colony Kukatpally, Hyderabad, Telangana, 500072, India",,,,
,,Legacy Migration and Study Direction,,,,,,Chadstone,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45760,"1341 Dandenong Road, Chadstone, Victoria, 3148, Australia",,,,
,,i20fever-A S Rao Nagar,,,,,,Secunderabad,Telangana,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44908,"Aishwarya Chambers, A8, above Vaibhav Jewellers, Rukminipuri Colony, A. S. Rao Nagar, Main road, Secunderabad, Telangana, 500062, India",,,,
,,Student Circle,,,,,,Albion,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45446,"2 Dubbo Street, Albion, Victoria, 3020, Australia",,,,
,,Australia Brasil,,,,,,Sao Paulo,Sao Paulo,Brazil,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/5312,"Ed. The Office, 558/105 Frei Caneca St, Consolacao, Sao Paulo, Sao Paulo, 01307-000, Brazil",,,,
,,Spark Education Consultancy Inc.,,,,,,Brampton,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45833,"205 54 Sky Harbour Drive, Brampton, Ontario, L6Y 6B9, Canada",,,,
,,Tantu Immigration,,,,,,Westmount,QC,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43646,"245 Avenue Victoria, Suite 550, 245 Avenue Victoria, Suite 550, Westmount, QC, H3Z 2M6, Canada",,,,
,,Ly Immigration and Citizenship Consulting,,,,,,Waterloo,ON,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/38951,"245 The Boardwalk, Suite 302, Waterloo, ON, N2T 0A6, Canada",,,,
,,Smart Study Center (Smart Education) Pvt. Ltd.,,,,,,Kathmandu,Central Development Region,Nepal,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45578,"33 Dillibazar Height Marg Way to Putalisadak, Next to Citizens Bank, G P O Box 8975, EPC 5080, Kathmandu, Central Development Region, 44600, Nepal",,,,
,,International Study Development Joint Stock Company,,,,,,Hanoi,Hà Nội,Vietnam,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45901,"No. 7 Lane 3 Lieu Giai street, Hanoi, Hà Nội, 100000, Vietnam",,,,
,,Advance Learning Services,,,,,,LONDON,LONDON,United Kingdom,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45921,"04 160 Cannon Street Road, LONDON, LONDON, E1 2LH, United Kingdom",,,,
,,Ayesha M. Alli,,,,,,Mississauga,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45927,"3793 Barley Trail, Mississauga, Ontario, L5M 6X4, Canada",,,,
,,Aerial Immigration Consultants,,,,,,Firozpur,PB,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43929,"AERIAL IMMIGRATION CONSULTANTS FEROZEPUR, Near Dev samaj college Outside makhu gate, Ferozepur, Firozpur, PB, 152002, India",,,,
,,Eduabroad Limited (Study Abroad Centre),,,,,,Mpape District,Abuja,Nigeria,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45761,"Suit B2 Plort C55 Ibiye Plaza, Mpape District, Abuja, Federal Capital Territory, Nigeria",,,,
,,APPLY4STUDY,,,,,,AUBURN,NSW,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45990,"SUITE 5-8, 2 AUBURN ROAD 2144 AUBURN NSW, AUBURN, NSW, 2144, Australia",,,,
,,ATLANTIC TRAVEL & SERVICES,,,,,,rue 198 Unnamed Road,Abidjan,Cote d'Ivoire,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45703,"Residence sainte rosine, opposite of pharmacie saint Viateur, rue 198 Unnamed Road, Abidjan, District Autonome d'Abidjan, Cote d'Ivoire",,,,
,,YZICEEA,,,,,,Xuefudadao,Nanchang,China,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/46054,"No. 1, Xuefudadao, Nanchang, Jiangxi, China",,,,
,,优途加拿大 UTOI Management Consulting Inc.,,,,,,Markham,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44822,"7077 Kennedy Road Unit-210/211/201, Markham, Ontario, L3R 0N8, Canada",,,,
,,Global Interface Education Services Canada,,,,,,Toronto,Ontario,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/46067,"303 5 Massey Square, Toronto, Ontario, M4C 5L6, Canada",,,,
,,Yooz study,,,,,,Surfers Paradise,QLD,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/43741,"The Forum, 26 Orchid Ave Shop 10, Surfers Paradise, QLD, 4217, Australia",,,,
,,Azad Halavi,,,,,,North Vancouver,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/46192,"301 128 21st Street West, North Vancouver, British Columbia, V7M 1Y9, Canada",,,,
,,Unican Immigration,,,,,,West Vancouver,British Columbia,Canada,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/46205,"201A 1571 Bellevue Avenue, West Vancouver, British Columbia, V7V 1A6, Canada",,,,
,,Student Apply,,,,,,18 Harbour Road,,Hong Kong,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45966,"18 Harbour Road, Hong Kong Island, Hong Kong",,,,
,,Skyjet Aviation Pvt Ltd,,,,,,36 Vakil Chambers Opp. Universal Honda,Ahmedabad,India,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/40656,"36 Vakil Chambers Opp. Universal Honda, Ahmedabad, 38000, India",,,,
,,Sunshine Vietnam,,,,,,Hai Duong City,Hai Duong,Vietnam,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/39338,"76 Thanh Nien Road Quang Trung Ward, Quang Trung Ward, Hai Duong City, Hai Duong, 170000, Vietnam",,,,
,,Aussizzgroup,,,,,,Melbourne,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44877,"Level 1 290 Collins Street, Melbourne, Victoria, 3000, Australia",,,,
,,Standard Education for Abroad study and vocational training Pvt Ltd,,,,,,Kathmandu,Central Development Region,Nepal,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/44789,"Putalisadak Putalisadak Level 2 Gangaur Sweet Building near Share Market Complex, Kathmandu, Central Development Region, 44600, Nepal",,,,
,,Target Success Australia,,,,,,Tarneit,Victoria,Australia,Education Agent,icef,https://connect.pierapps.com/widgets/agencies/45892,"16 monaro street, Tarneit, Victoria, 3029, Australia",,,,
