first_name,last_name,firm_name,title,email,phone,website,domain,city,state,country,niche,source,profile_url,fax,street_address,zip,services,languages
,,Neighborhood Defender Service of Harlem - Immigration Defense Practice,Immigration Legal Services,,(212) 876-5500,http://www.ndsny.org,ndsny.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393221-Neighborhood_Defender_Service_of_Harlem_Immigration_Defense_Practice,(212) 876-5586,"317 Lenox Ave, 10th Floor",10027,,
,,Neighbors Link,Immigration Legal Services,,(914) 666-3410,http://www.neighborslink.org,neighborslink.org,Mount Kisco,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.651456-Neighbors_Link,,350 Lexington Avenue,10549,,
,,New Hope Immigration Legal Services,Immigration Legal Services,,(585) 760-4328,http://www.newhopefree.org/ils,newhopefree.org,Rochester,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.724521-New_Hope_Immigration_Legal_Services,,62 N Union St,14607,,
,,New York Legal Assistance Group,Immigration Legal Services,,(212) 613-5000,http://www.nylag.org,nylag.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393193-New_York_Legal_Assistance_Group,(212) 750-0820,100 Pearl St,10004,,
,,New York University School of Law - Immigrant Rights Clinic,Immigration Legal Services,,(212) 998-6430,http://www.law.nyu.edu/immigrantrightsclinic,law.nyu.edu,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393202-New_York_University_School_of_Law_Immigrant_Rights_Clinic,(212) 995-4031,"245 Sullivan St, 5th Floor",10012,,
,,North Eastern Expansion Development,Immigration Legal Services,,(845) 877-0227,http://need-crp.org/,need-crp.org,Dover Plains,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.650094-North_Eastern_Expansion_Development,(845) 877-0227,3042 Route 22,12522,,
,,Northern Manhattan Coalition for Immigrant Rights,Immigration Legal Services,,(212) 781-0355,http://www.NMCIR.org,nmcir.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393203-Northern_Manhattan_Coalition_for_Immigrant_Rights,(212) 781-0943,"5030 Broadway, Suite 639",10034,,
,,Northern Manhattan Improvement Corporation,Immigration Legal Services,,(212) 822-8300,http://www.nmic.org,nmic.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393204-Northern_Manhattan_Improvement_Corporation,(212) 740-9646,"45 Wadsworth Ave, Floor 7",10033,,
,,Opportunities for a Better Tomorrow,Immigration Legal Services,,(718) 381-3222,http://www.obtjobs.org,obtjobs.org,Brooklyn,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.560360-Opportunities_for_a_Better_Tomorrow,(718) 381-3220,280 Wyckoff Avenue,11237,,
,,"Pax, Polish American Community Services, Inc.",Immigration Legal Services,,(718) 389-7580,http://www.pax-ny.org,pax-ny.org,Brooklyn,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393137-Pax_Polish_American_Community_Services_Inc,(718) 389-7582,112-B Nassau Ave.,11222,,
,,Polish and Slavic Center - Immigration and Legal Services Program,Immigration Legal Services,,718-594-0894,http://www.polishslaviccenter.org,polishslaviccenter.org,Brooklyn,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393205-Polish_and_Slavic_Center_Immigration_and_Legal_Services_Program,(718) 349-7078,"176 Java St, Suite 4",11222,,
,,Queens Legal Services (Legal Services of NYC),Immigration Legal Services,,(347) 592-2200,http://www.legalservicesnyc.org,legalservicesnyc.org,Jamaica,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393199-Queens_Legal_Services_Legal_Services_of_NYC,(347) 592-2294,"89-00 Sutphin Blvd, 5th Floor",11435,,
,,Religious of the Sacred Heart of Mary Life Center,Immigration Legal Services,,(914) 372-7414,http://rshmlifecenter.org,rshmlifecenter.org,Sleepy Hollow,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.524287-Religious_of_the_Sacred_Heart_of_Mary_Life_Center,(631) 787-6320,32 Beekman Avenue,10591,,
,,Safe Harbor Project - Brooklyn Law School,Immigration Legal Services,,(718) 780-7994,https://www.brooklaw.edu/Courses/Clinic---Safe-Harbor,brooklaw.edu,Brooklyn,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.627298-Safe_Harbor_Project_Brooklyn_Law_School,(718) 780-0376,"BLS Legal Service, Corp., 250 Joralemon Street",11201,,
,,Safe Horizon - Immigration Law Project,Immigration Legal Services,,(718) 943-8632,http://www.safehorizon.org,safehorizon.org,Brooklyn,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393206-Safe_Horizon_Immigration_Law_Project,(718) 943-8646,"50 Court St, 8th Floor",11201,,
,,Safe Passage Project,Immigration Legal Services,,(212) 324-6558,http://www.safepassageproject.org,safepassageproject.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.608515-Safe_Passage_Project,,185 W Broadway,10013,,
,,Sanctuary for Families - Center for Battered Women's Legal Services,Immigration Legal Services,,(212) 349-6009  221,http://www.sanctuaryforfamilies.org,sanctuaryforfamilies.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393207-Sanctuary_for_Families_Center_for_Battered_Womens_Legal_Services,(212) 566-0344,"30 Wall Street, 8th Floor",10005,,
,,Sanctuary for Families - Family Justice Center (Bronx Office),Immigration Legal Services,,(718) 508-1222,http://www.sanctuaryforfamilies.org,sanctuaryforfamilies.org,Bronx,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393208-Sanctuary_for_Families_Family_Justice_Center_Bronx_Office,(646) 500-6618,"198 East 161st Street, 2nd Floor",10451,,
,,Sanctuary for Families - Family Justice Center (Brooklyn Office),Immigration Legal Services,,(718) 250-4402,http://www.sanctuaryforfamilies.org,sanctuaryforfamilies.org,Brooklyn,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393209-Sanctuary_for_Families_Family_Justice_Center_Brooklyn_Office,(718) 624-4240,"350 Jay St., 15th Floor",11201,,
,,Sanctuary for Families - Family Justice Center (Queens Office),Immigration Legal Services,,(718) 575-4500,http://www.sanctuaryforfamilies.org,sanctuaryforfamilies.org,Kew Gardens,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393210-Sanctuary_for_Families_Family_Justice_Center_Queens_Office,,126-02 82nd Ave,11415,,
,,"SEPA Mujer, Inc.",Immigration Legal Services,,(631) 980-2555,http://www.sepamujer.org,sepamujer.org,Patchogue,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.619599-SEPA_Mujer_Inc,,45 Oak Street,11772,,
,,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",Immigration Legal Services,,(718) 646-1444,http://www.shorefronty.org,shorefronty.org,Brooklyn,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393139-Shorefront_YMYWHA_of_BrightonManhattan_Beach_Inc,(718) 646-0376,3300 Coney Island Ave,11235,,
,,Southside Community Mission,Immigration Legal Services,,(718) 387-3803,,,Brooklyn,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393140-Southside_Community_Mission,(718) 387-6052,280 Marcy Ave,11211,,
,,Sylvia Rivera Law Project,Immigration Legal Services,,(212) 337-8550  308,http://www.srlp.org,srlp.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.652328-Sylvia_Rivera_Law_Project,,"147 W 24th St, Fl 5",10011,,
,,The Bronx Defenders,Immigration Legal Services,,(718) 838-7878,http://www.bronxdefenders.org,bronxdefenders.org,Bronx,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393227-The_Bronx_Defenders,(718) 665-0100,360 E. 161st St.,10451,,
,,The Center,Immigration Legal Services,,(315) 738-1083,https://www.thecenterutica.org/,thecenterutica.org,Utica,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.804743-The_Center,,201 Bleecker St.,13501,,
,,"The Door, A Center of Alternatives, Inc. - Legal Services Center",Immigration Legal Services,,(212) 941-9090  3280,http://www.door.org,door.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393225-The_Door_A_Center_of_Alternatives_Inc_Legal_Services_Center,(212) 941-9579,555 Broome St.,10013,,
,,The Solidarity Group Inc. A- NON-FOR-PROFIT ORGANIZATION,Immigration Legal Services,,5164425111,,,Freeport,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.763759-The_Solidarity_Group_Inc_A_NONFORPROFIT_ORGANIZATION,516-345-2605,234 East Merrick Road,11520,,
,,U.S. Committee for Refugees and Immigrants (Albany Office),Immigration Legal Services,,(518) 459-1790,http://refugees.org/field-office/albany,refugees.org,Albany,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393141-US_Committee_for_Refugees_and_Immigrants_Albany_Office,(518) 459-1876,"99 Pine Street, Suite 101",12207,,
,,United Jewish Council of the East Side,Immigration Legal Services,,(212) 233-6037,http://www.UJCEastSide.org,ujceastside.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393142-United_Jewish_Council_of_the_East_Side,(212) 385-2693,465 Grand Street  4th floor,10002,,
,,"UnLocal, Inc.",Immigration Legal Services,,(646) 233-0967,http://www.unlocal.org,unlocal.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.530547-UnLocal_Inc,,"45 West 29th Street, Suite 203",10001,,
,,Urban Justice Center's Peter Cicchino Youth Project,Immigration Legal Services,,(646) 602-5600,http://pcyp.urbanjustice.org,pcyp.urbanjustice.org,New York,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.527010-Urban_Justice_Centers_Peter_Cicchino_Youth_Project,(212) 533-4598,"40 Rector Street, 9th Floor",10006,,
,,"Worker Justice Center of New York, Inc. (Rochester Office)",Immigration Legal Services,,(585) 325-3050,http://www.wjcny.org,wjcny.org,Rochester,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.594220-Worker_Justice_Center_of_New_York_Inc_Rochester_Office,(585) 325-7614,1187 Culver Road,14609,,
,,"Youth Ministries for Peace & Justice, Inc. - Center for Community Justice",Immigration Legal Services,,(718) 328-5622,http://www.ympj.org,ympj.org,Bronx,NY,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393143-Youth_Ministries_for_Peace_Justice_Inc_Center_for_Community_Justice,(718) 328-5630,1384 Stratford Ave,10472,,
,,Advocates for Immigrant Survivors,Immigration Legal Services,,832-644-5524,https://advocatesforsurvivors.org/,advocatesforsurvivors.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.765358-Advocates_for_Immigrant_Survivors,,1305 W 11th St. #145,77008,,
,,Advokato,Immigration Legal Services,,210-370-7066,https://www.advokato.org,advokato.org,San Antonio,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.819335-Advokato,,4204 Gardendale Road #106,78229,,
,,African Law Center (Houston Office),Immigration Legal Services,,(281) 624-6421,http://www.africanlawcenter.org,africanlawcenter.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.543896-African_Law_Center_Houston_Office,(206) 338-3324,"9898 Bissonnet Street, Suite 589",77036,,
,,Amarillo Immigration Resource Center,Immigration Legal Services,,8063355734,https://amahope.org/,amahope.org,Amarillo,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.770327-Amarillo_Immigration_Resource_Center,,709 North Taylor Street,79107,,
,,American Gateways (Austin Office),Immigration Legal Services,,(512) 478-0546  200,http://www.americangateways.org,americangateways.org,Austin,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393328-American_Gateways_Austin_Office,(512) 387-2650,"314 E. Highland Mall Blvd., Suite 501",78752,,
,,American Gateways (San Antonio Office),Immigration Legal Services,,(210) 521-4768  232,https://americangateways.org/,americangateways.org,San Antonio,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.769325-American_Gateways_San_Antonio_Office,(210) 625-6797,"2300 W. Commerce Street, Suite 313",78207,,
,,American Gateways (Waco),Immigration Legal Services,,(254) 230-0382  264,https://americangateways.org/,americangateways.org,Waco,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.769442-American_Gateways_Waco,(512) 387-2650,"2323 Columbus Avenue, Suite C",76701,,
,,Austin Law PLLC,Immigration Legal Services,,(830) 475-3425,http://www.theaustinlaw.com,theaustinlaw.com,"New Braunfels,",TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.766538-Austin_Law_PLLC,,Austin Law PLLC 207 E San Antonio St Suite 204,78130,,
,,BakerRipley Immigration and Citizenship Program,Immigration Legal Services,,(346) 867-3871,https://www.bakerripley.org/,bakerripley.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.408492-BakerRipley_Immigration_and_Citizenship_Program,,"6200 Savoy Dr., Ste. 1200",77036,,
,,Bernardo Kohler Center,Immigration Legal Services,,(512) 831-4272,http://www.bernardokohler.org,bernardokohler.org,Austin,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393332-Bernardo_Kohler_Center,(512) 661-0326,"4009 Bannister Ln, Suite 240",78704,,
,,Boat People SOS (Houston Office),Immigration Legal Services,,(281) 530-6888,http://www.bpsos.org,bpsos.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393333-Boat_People_SOS_Houston_Office,(281) 530-6838,"11360 Bellaire Blvd, Suite 910",77072,,
,,Border Association for Refugees from Central America,Immigration Legal Services,,(956) 631-7447,,,McAllen,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393334-Border_Association_for_Refugees_from_Central_America,(956) 687-9266,"1701 North 8th, B-30",78501,,
,,Casa De Proyecto Libertad,Immigration Legal Services,,(956) 425-9552,,,Harlingen,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393335-Casa_De_Proyecto_Libertad,(956) 425-8249,113 N. 1st St,78550,,
,,Casa Marianella,Immigration Legal Services,,(512) 385-5571,http://www.casamarianella.org/,casamarianella.org,Austin,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.594010-Casa_Marianella,,821 Gunter Street,78702,,
,,Catholic Charities - Diocese of Tyler Immigration Services,Immigration Legal Services,,(903) 258-9492  105,http://www.cctyler.org,cctyler.org,Tyler,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393311-Catholic_Charities_Diocese_of_Tyler_Immigration_Services,(903) 258-6012,"202 W. Front St, PO Box 2016",75710,,
,,Catholic Charities - Immigration Program,Immigration Legal Services,,(806) 765-8475,http://www.cclubbock.org,cclubbock.org,Lubbock,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393313-Catholic_Charities_Immigration_Program,(806) 765-8630,102 Ave J,79401,,
,,"Catholic Charities Archdiocese of San Antonio, Inc - Caritas Legal Services",Immigration Legal Services,,(210) 433-3256,http://www.ccaosa.org,ccaosa.org,San Antonio,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393339-Catholic_Charities_Archdiocese_of_San_Antonio_Inc_Caritas_Legal_Services,(210) 433-0851,1801 W. Cesar E. Chavez Blvd,78207,,
,,Catholic Charities Dallas - Immigration and Legal Services,Immigration Legal Services,,(214) 634-7182,https://ccdallas.org/need-help/immigration-legal-services/,ccdallas.org,Dallas,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393384-Catholic_Charities_Dallas_Immigration_and_Legal_Services,,1421 W. Mockingbird Lane,75247,,
,,Catholic Charities Diocese of Laredo,Immigration Legal Services,,(956) 722-2443,http://thedioceseoflaredo.org/index.php?id=84,thedioceseoflaredo.org,Laredo,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393340-Catholic_Charities_Diocese_of_Laredo,(956) 725-2238,"1919 Cedar Ave, P.O Box 3305",78040,,
,,Catholic Charities Fort Worth - Immigration Services (Fort Worth Office),Immigration Legal Services,,(817) 289-4399,https://ccfwimmigration.com/,ccfwimmigration.com,Fort Worth,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393388-Catholic_Charities_Fort_Worth_Immigration_Services_Fort_Worth_Office,,249 W. Thornhill Dr,76115,,
,,Catholic Charities of Central Texas - Immigration Legal Services (Austin Office),Immigration Legal Services,,(512) 651-6125,http://www.ccctx.org,ccctx.org,Austin,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393336-Catholic_Charities_of_Central_Texas_Immigration_Legal_Services_Austin_Offi,(512) 494-0246,"1625 Rutherford Ln, Bldg A, 2nd Floor",78754,,
,,Catholic Charities of Corpus Christi - Immigration Services,Immigration Legal Services,,(361) 884-0651,http://www.catholiccharities-cc.org,catholiccharities-cc.org,,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393337-Catholic_Charities_of_Corpus_Christi_Immigration_Services,(361) 884-2218,,78408,,
,,Catholic Charities of Dallas,Immigration Legal Services,,214-634-7182,https://www.ccdallas.org/,ccdallas.org,Dallas,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.760524-Catholic_Charities_of_Dallas,,1421 W Mockingbird Ln,75247,,
,,Catholic Charities of Southeast Texas - Immigration Services,Immigration Legal Services,,(409) 924-4400,http://www.catholiccharitiesbmt.org,catholiccharitiesbmt.org,Beaumont,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393385-Catholic_Charities_of_Southeast_Texas_Immigration_Services,(409) 832-0145,2780 Eastex Fwy,77703,,
,,Catholic Charities of the Archdiocese of Galveston-Houston - St. Frances Cabrini Center for Immigrant Legal Assistance,Immigration Legal Services,,(713) 595-4100,https://www.catholiccharities.org/supporting-refugees-immigrants/st-frances-cabrini-center-for-immigration-legal-assistance/,catholiccharities.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393338-Catholic_Charities_of_the_Archdiocese_of_GalvestonHouston_St_Frances_Cabri,(713) 874-6792,"5599 San Felipe St, Suite 300",77056,,
,,Catholic Charities of the Texas Panhandle,Immigration Legal Services,,806-350-4606,http://cctxp.com,cctxp.com,Amarillo,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393312-Catholic_Charities_of_the_Texas_Panhandle,(806) 376-8212,2004 N Spring,79107,,
,,Center Against Sexual & Family Violence,Immigration Legal Services,,(915) 595-2238,http://www.casfv.org,casfv.org,El Paso,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393341-Center_Against_Sexual_Family_Violence,(915) 593-0012,580 Giles St.,79915,,
,,Central American Resource Center (Houston Office),Immigration Legal Services,,(713) 665-1284,,,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393389-Central_American_Resource_Center_Houston_Office,,"6006 Bellaire Blvd, Suite 100",77081,,
,,Church World Service (Dallas Office),Immigration Legal Services,,469-529-1611,https://cwsdallas.org/,cwsdallas.org,Richardson,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.814859-Church_World_Service_Dallas_Office,,"1010 E Arapaho Rd, Ste 100",75081,,
,,Church World Service (Houston Office),Immigration Legal Services,,346-200-9951,https://cwshouston.org/,cwshouston.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.814861-Church_World_Service_Houston_Office,,"6671 Southwest Freeway, Suite 760",77074,,
,,Clinica De Inmigracion De San Jose,Immigration Legal Services,,(830) 774-8742,,,Del Rio,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393342-Clinica_De_Inmigracion_De_San_Jose,,716 W. Garza St.,78840,,
,,Diocese of Brownsville - Immigration Services (San Juan Office),Immigration Legal Services,,(956) 784-5057,http://www.cdob.org,cdob.org,San Juan,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393315-Diocese_of_Brownsville_Immigration_Services_San_Juan_Office,(956) 784-5096,700 N. Virgen de San Juan Blvd,78589,,
,,Diocese of San Angelo Immigration Services,Immigration Legal Services,,325-212-6192,https://sanangelodiocese.org/immigration-services,sanangelodiocese.org,Abilene,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.810278-Diocese_of_San_Angelo_Immigration_Services,,1642 S 8th Street,79602,,
,,Educational and Legal Immigration Ministries,Immigration Legal Services,,(210) 326-3273,https://www.elimfsw.org,elimfsw.org,San Antonio,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.507160-Educational_and_Legal_Immigration_Ministries,,338 E. Summit Ave.,78212,,
,,Equal Justice Center,Immigration Legal Services,,(888) 670-6854,http://www.equaljusticecenter.org,equaljusticecenter.org,Austin,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.527040-Equal_Justice_Center,,"510 South Congress Avenue, Suite 206",78704,,
,,Estrella del Paso (formerly Diocesan Migrant and Refugee Services),Immigration Legal Services,,(915) 532-3975,https://www.estrelladelpaso.org,estrelladelpaso.org,El Paso,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393344-Estrella_del_Paso_formerly_Diocesan_Migrant_and_Refugee_Services,(915) 532-4071,2400 E. Yandell Dr.,79903,,
,,Galveston-Houston Immigrant Representation Project,Immigration Legal Services,,713-561-3059,https://www.ghirp.org/,ghirp.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.809166-GalvestonHouston_Immigrant_Representation_Project,,"6001 Savoy Dr., Ste 400",77036,,
,,Global Refuge,Immigration Legal Services,,(410) 983-4000,https://www.globalrefuge.org/what-we-do/immigration-legal-services/,globalrefuge.org,San Antonio,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.811200-Global_Refuge,,"1800 NE Interstate 410 Loop, #108",78217,,
,,Greater Waco Legal Services,Immigration Legal Services,,(254) 733-2828,http://www.greaterwacolegalservices.org,greaterwacolegalservices.org,Waco,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.552237-Greater_Waco_Legal_Services,(254) 235-0343,"1224 Austin Ave, Suite 200",76701,,
,,Hispanic American Association of East Texas,Immigration Legal Services,,(903) 595-0066,https://haaet.org/,haaet.org,Tyler,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393316-Hispanic_American_Association_of_East_Texas,(903) 531-0230,1111 E. Erwin St,75702,,
,,Human Rights Initiative of North Texas,Immigration Legal Services,,(214) 855-0520,http://www.hrionline.org,hrionline.org,Dallas,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393386-Human_Rights_Initiative_of_North_Texas,(214) 855-0793,2801 Swiss Ave,75204,,
,,Iglesia Del Hogar Centro De Asistencia De Inmigracion,Immigration Legal Services,,(210) 433-9993,,,San Antonio,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393317-Iglesia_Del_Hogar_Centro_De_Asistencia_De_Inmigracion,(210) 436-3611,1071 W. Kirk Pl.,78226,,
,,Immigrant Connect at Acts of Hope,Immigration Legal Services,,210-579-4853,https://actsofhope.org,actsofhope.org,San Antonio,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.792559-Immigrant_Connect_at_Acts_of_Hope,,3910 West Avenue,78213,,
,,Immigrant Connection at Cactus Nazarene Ministries,Immigration Legal Services,,(806) 421-0160,https://www.cactusministries.org,cactusministries.org,Cactus,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.813830-Immigrant_Connection_at_Cactus_Nazarene_Ministries,,"PO Box 990, 200 Palo Duro Drive",79013,,
,,Immigrant Connection at Sent Church,Immigration Legal Services,,(972) 737-3287,http://www.immigrationplano.com,immigrationplano.com,Plano,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.645796-Immigrant_Connection_at_Sent_Church,,3701 West Spring Creek Parkway,75023,,
,,International Emergency and Development Aid (IEDA Relief),Immigration Legal Services,,(713) 774-2522,http://www.iedarelief.org,iedarelief.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.596801-International_Emergency_and_Development_Aid_IEDA_Relief,(713) 774-2529,"10101 Fondren Rd, Suite 570",77096,,
,,International Rescue Committee (Abilene Office),Immigration Legal Services,,(325) 675-5643,http://www.rescue.org,rescue.org,Abilene,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393320-International_Rescue_Committee_Abilene_Office,(325) 675-5487,"3303 N. 3rd St., Suite D",79603,,
,,International Rescue Committee (Dallas Office),Immigration Legal Services,,(214) 461-9781,http://www.rescue.org,rescue.org,Dallas,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.393321-International_Rescue_Committee_Dallas_Office,(214) 461-9782,"6500 Greenville Ave., Suite 500",75206,,
,,Justice for all Immigrants (Houston Office),Immigration Legal Services,,(713) 454-6470,https://www.justiceforallimmigrants.org/,justiceforallimmigrants.org,Houston,TX,US,immigration,immigration_advocates_network,https://www.immigrationadvocates.org/nonprofit/legaldirectory/organization.598450-Justice_for_all_Immigrants_Houston_Office,,2220 Broadway Street,77012,,
